record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,mnchner_chronotypfragebogen_mctq_timestamp,mctq_regular_work,mctq_nr_workdays,mctq_bedtime_work,mctq_ready_sleep_work,mctq_fall_sleep_work,mctq_wake_time_work,mctq_get_up_work,mctq_alarm_work,mctq_wake_alarm,mctq_bedtime_free,mctq_ready_sleep_free,mctq_fall_sleep_free,mctq_wake_time_free,mctq_get_up_free,mctq_alarm_free,mctq_choose_sleep_free,mctq_reason___1,mctq_reason___2,mctq_reason___3,mctq_reason_spec,mctq_shift_work,mctq_work_start,mctq_work_end,mctq_work_flex,mctq_work_travel,mctq_com_to_work_h,mctq_com_to_work_min,mctq_com_from_work_h,mctq_com_from_work_min,mctq_outdoor_work_h,mctq_outdoor_work_min,mctq_outdoor_work_calc,mctq_outdoor_free_h,mctq_outdoor_free_min,mctq_outdoor_free_calc,mctq_stim_cigar,mctq_stim_beer,mctq_stim_wine,mctq_stim_liquor,mctq_stim_coffee,mctq_stim_tea,mctq_stim_caf_drink,mctq_stim_sleep_med,mctq_nr_cigar,mctq_nr_beer,mctq_nr_wine,mctq_nr_liquor,mctq_nr_coffee,mctq_nr_tea,mctq_nr_caf_drink,mctq_nr_sleep_med,mnchner_chronotypfragebogen_mctq_complete
"1,,,BAUA_S001,""2025-06-10 08:04:07"",1,5,20:15,21:00,10,06:00,1,1,0,21:00,21:30,10,07:30,30,1,0,0,0,0,,0,08:00,16:00,2,1,0,27,0,27,1,30,90,5,00,300,3,3,3,3,3,3,2,3,0,1,0,0,0,0,1,0,2"
"2,,,BAUA_S002,""2025-06-10 13:39:16"",1,5,22:00,21:30,20,05:30,2,1,0,22:30,22:00,20,08:30,10,0,0,0,0,0,,0,07:30,16:00,2,1,0,15,0,20,2,0,120,4,0,240,3,3,3,3,3,3,2,3,0,0,0,0,0,0,3,0,2"
"3,,,BAUA_S003,""2025-06-10 14:49:54"",1,5,21:46,22:15,15,07:30,15,1,1,22:30,23:00,15,08:45,15,0,0,0,0,0,,0,08:30,16:30,2,3,0,20,0,20,3,0,180,4,0,240,3,3,3,3,2,3,2,3,0,0,1,1,2,0,10,0,2"
"4,,,BAUA_S004,""2025-06-10 16:45:50"",1,5,22:45,22:50,5,06:10,0,1,0,00:00,00:00,5,08:00,1,0,0,0,0,0,,0,07:20,15:45,2,1,0,30,0,30,2,0,120,3,0,180,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2"
"5,,,BAUA_S005,""2025-06-10 17:52:36"",1,5,01:00,00:30,10,08:00,10,1,0,01:00,00:30,10,08:30,30,0,0,0,0,0,,0,09:00,17:30,1,2,0,20,0,40,0,40,40,2,0,120,3,3,3,3,1,3,2,3,0,2,0,0,3,0,1,0,2"
"6,,,BAUA_S006,""2025-06-10 21:28:40"",1,5,23:30,23:45,1,06:30,0,1,0,00:00,00:20,1,08:20,5,0,1,1,0,0,,0,09:00,17:30,2,2,0,30,0,30,1,00,60,1,30,90,3,3,3,3,1,3,3,3,0,1,2,0,3,0,0,0,2"
"7,,,BAUA_S007,""2025-06-24 08:05:10"",1,5,21:45,22:00,10,05:30,3,1,1,22:00,22:10,10,06:45,5,0,0,0,0,0,,0,06:30,15:30,1,1,0,45,1,00,1,00,60,3,00,180,3,3,3,3,3,3,3,3,0,0,0,2,5,0,3,0,2"
"8,,,BAUA_S008,""2025-06-24 09:51:28"",1,5,23:00,23:15,30,07:00,10,1,0,23:30,23:45,45,07:30,10,1,1,0,0,1,""Welpe "",0,09:00,17:00,1,3,0,0,0,0,1,30,90,5,15,315,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,2"
"9,,,BAUA_S009,""2025-06-24 11:29:00"",1,5,23:30,23:30,5,06:30,30,1,1,23:30,23:30,5,07:30,30,1,1,1,1,0,,0,08:30,15:30,1,2,1,0,1,0,7,0,420,12,0,720,1,2,1,1,1,1,1,1,0,10,0,0,10,0,0,0,2"
"10,,,BAUA_S010,""2025-06-24 16:49:00"",0,,22:30,22:20,10,06:10,30,1,0,00:30,00:15,10,08:30,20,0,1,1,0,0,,1,,,1,1,10,0,10,0,3,0,180,8,0,480,3,2,3,3,1,3,3,3,0,4,3,0,3,4,0,0,2"
"11,,,BAUA_S011,""2025-06-24 18:00:42"",1,5,22:30,23:00,30,06:30,30,1,1,22:30,22:30,30,08:00,30,0,1,1,0,1,""Welpe, 11 Wochen  alt"",0,07:40,17:00,1,3,0,0,0,0,1,50,110,3,00,180,1,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,2"
"12,,,BAUA_S012,""2025-07-15 08:18:03"",1,5,23:30,23:45,30,08:00,20,1,0,23:30,00:00,20,10:30,15,0,0,0,0,0,,0,09:00,16:30,1,1,0,40,0,40,2,0,120,6,0,360,3,3,3,3,2,3,2,3,0,0,0,0,3,3,3,0,2"
"13,,,BAUA_S013,""2025-07-15 09:50:32"",1,7,22:00,23:00,10,04:00,180,1,1,00:00,00:30,10,05:00,180,0,0,0,0,0,,0,12:45,16:30,2,1,1,30,1,30,2,00,120,3,00,180,1,1,1,1,1,3,2,1,0,0,0,0,3,1,1,0,2"
"14,,,BAUA_S014,""2025-07-15 14:29:50"",1,5,22:00,21:50,10,05:30,5,1,0,00:00,23:50,20,07:30,15,0,0,0,0,0,,0,07:00,14:30,1,3,0,30,0,30,2,0,120,6,0,360,1,2,3,1,1,1,1,1,0,5,1,0,4,0,0,0,2"
"15,,,BAUA_S015,""2025-07-22 12:51:54"",1,5,23:00,23:30,10,08:00,10,1,0,00:00,00:15,10,10:00,30,0,0,0,0,0,,0,09:00,17:30,2,1,0,30,0,30,4,0,240,8,0,480,3,2,3,3,2,3,1,3,0,0,4,0,5,0,1,0,2"
"16,,,BAUA_S016,""2025-07-22 17:44:43"",1,5,21:00,20:50,10,06:00,2,1,0,22:00,21:50,10,08:00,15,0,0,0,0,0,,0,06:00,15:00,2,3,0,0,0,0,1,00,60,2,00,120,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2"
"18,,,BAUA_S017,""2025-09-08 14:45:10"",1,5,22:00,22:30,30,08:00,5,0,,23:00,23:30,30,09:00,30,0,1,0,0,1,""spontane kurzausflüge, treffen mit freunden "",0,08:30,16:45,3,2,0,20,0,23,8,0,480,10,0,600,2,3,3,2,3,2,2,3,5,3,0,2,0,2,8,0,2"
"19,,,BAUA_S018,""2025-09-08 19:32:28"",1,5,00:00,00:30,5,06:30,20,1,0,01:00,01:30,5,09:30,30,0,0,0,0,0,,0,08:40,18:00,1,1,1,00,1,00,2,00,120,8,00,480,1,1,2,1,2,1,2,1,0,0,1,0,3,0,14,0,2"
"20,,,BAUA_S020,""2025-09-22 07:08:26"",1,6,22:00,22:30,30,04:30,15,1,0,23:00,23:30,30,06:45,15,1,1,0,0,1,Hund,0,06:30,15:00,2,2,0,15,0,15,2,30,150,5,0,300,1,1,1,1,2,1,2,1,15,0,0,0,2,0,5,0,2"
"21,,,BAUA_S019,""2025-09-22 08:17:44"",1,5,20:00,19:30,15,04:00,1,1,1,23:00,22:45,10,07:00,1,0,1,0,1,0,,0,06:00,14:00,2,1,0,15,0,15,2,30,150,6,0,360,1,2,3,3,1,3,2,3,20,2,0,0,3,0,2,0,2"
"22,,,BAUA_S022,""2025-09-22 15:14:00"",1,5,22:30,22:15,5,06:00,10,1,0,23:30,23:45,3,09:00,10,0,0,0,0,0,,0,08:00,16:30,2,1,0,40,0,45,1,0,60,3,0,180,3,2,2,3,2,3,3,3,0,2,1,1,14,0,1,0,2"
"23,,,BAUA_S023,""2025-09-23 09:19:53"",1,5,23:00,22:00,5,05:30,5,1,0,23:00,22:30,5,08:00,10,0,1,1,0,0,,0,08:00,14:00,2,1,0,30,0,30,1,30,90,1,30,90,3,3,3,3,1,2,3,3,0,0,0,0,4,1,0,0,2"
"24,,,BAUA_S025,""2025-10-13 10:23:39"",1,5,23:30,00:00,30,08:30,10,0,,01:50,02:00,5,10:00,10,0,0,0,0,0,,0,10:00,18:00,1,2,0,40,0,40,2,0,120,1,0,60,1,1,1,1,1,1,2,1,0,0,0,0,0,0,2,0,2"
"25,,,BAUA_S024,""2025-10-13 11:15:52"",1,5,21:00,22:30,20,07:30,1,1,0,22:00,23:00,20,08:30,30,0,0,0,0,0,,0,09:00,19:00,2,3,1,0,1,0,0,30,30,3,0,180,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2"
